Type,Symbol
Nifty 500,NESTLEIND
Nifty 500,IRCTC
Nifty 500,EIHOTEL
Nifty 500,CENTRALBK
Nifty 500,TATACONSUM
Nifty 500,RHIM
Nifty 500,MARUTI
Nifty 500,HDFCAMC
Nifty 500,BHARATFORG
Nifty 500,360ONE
Nifty 500,BEL
Nifty 500,GRAVITA
Nifty 500,JWL
Nifty 500,IGL
Nifty 500,BHEL
Nifty 500,ROUTE
Nifty 500,GILLETTE
Nifty 500,BBTC
Nifty 500,HAPPSTMNDS
Nifty 500,APLAPOLLO
Nifty 500,RECLTD
Nifty 500,JINDALSTEL
Nifty 500,LTFOODS
Nifty 500,ENGINERSIN
Nifty 500,THERMAX
Nifty 500,AIIL
Nifty 500,RAMCOCEM
Nifty 500,AFCONS
Nifty 500,STARHEALTH
Nifty 500,ASTRAZEN
Nifty 500,IREDA
Nifty 500,CUMMINSIND
Nifty 500,SWANENERGY
Nifty 500,LICI
Nifty 500,GNFC
Nifty 500,HINDALCO
Nifty 500,MASTEK
Nifty 500,BAJAJFINSV
Nifty 500,CDSL
Nifty 500,JBMA
Nifty 500,MGL
Nifty 500,FINCABLES
Nifty 500,GMDCLTD
Nifty 500,CERA
Nifty 500,AWL
Nifty 500,LLOYDSME
Nifty 500,MANYAVAR
Nifty 500,IOB
Nifty 500,SUZLON
Nifty 500,KOTAKBANK
Nifty 500,RELIANCE
Nifty 500,BAJAJHFL
Nifty 500,RENUKA
Nifty 500,DEEPAKFERT
Nifty 500,DALBHARAT
Nifty 500,APTUS
Nifty 500,PRAJIND
Nifty 500,INDHOTEL
Nifty 500,LEMONTREE
Nifty 500,DIVISLAB
Nifty 500,PVRINOX
Nifty 500,GODREJAGRO
Nifty 500,IRFC
Nifty 500,DABUR
Nifty 500,GUJGASLTD
Nifty 500,BALRAMCHIN
Nifty 500,TRENT
Nifty 500,LTIM
Nifty 500,BASF
Nifty 500,LATENTVIEW
Nifty 500,JUSTDIAL
Nifty 500,TATAINVEST
Nifty 500,LALPATHLAB
Nifty 500,KPRMILL
Nifty 500,BIKAJI
Nifty 500,AAVAS
Nifty 500,DOMS
Nifty 500,AFFLE
Nifty 500,TATAMOTORS
Nifty 500,ESCORTS
Nifty 500,SBICARD
Nifty 500,APOLLOTYRE
Nifty 500,HCLTECH
Nifty 500,ZYDUSLIFE
Nifty 500,ASTERDM
Nifty 500,DEEPAKNTR
Nifty 500,DELHIVERY
Nifty 500,PIDILITIND
Nifty 500,OLECTRA
Nifty 500,VTL
Nifty 500,ZENSARTECH
Nifty 500,NEWGEN
Nifty 500,LT
Nifty 500,FACT
Nifty 500,CCL
Nifty 500,EICHERMOT
Nifty 500,AKUMS
Nifty 500,IDFCFIRSTB
Nifty 500,DMART
Nifty 500,BLS
Nifty 500,TCS
Nifty 500,CHOLAHLDNG
Nifty 500,PFC
Nifty 500,ACMESOLAR
Nifty 500,SOLARINDS
Nifty 500,ACE
Nifty 500,SCHNEIDER
Nifty 500,SAREGAMA
Nifty 500,HINDPETRO
Nifty 500,SBFC
Nifty 500,GSPL
Nifty 500,GODREJCP
Nifty 500,WELSPUNLIV
Nifty 500,LTTS
Nifty 500,FSL
Nifty 500,ASIANPAINT
Nifty 500,INFY
Nifty 500,BAJFINANCE
Nifty 500,WIPRO
Nifty 500,RAYMOND
Nifty 500,TECHM
Nifty 500,TRIDENT
Nifty 500,BHARTIHEXA
Nifty 500,NSLNISP
Nifty 500,HONASA
Nifty 500,OBEROIRLTY
Nifty 500,GLAXO
Nifty 500,BDL
Nifty 500,ZENTEC
Nifty 500,KIRLOSBROS
Nifty 500,NAVINFLUOR
Nifty 500,ASAHIINDIA
Nifty 500,HBLENGINE
Nifty 500,ABB
Nifty 500,PFIZER
Nifty 500,MAZDOCK
Nifty 500,NTPCGREEN
Nifty 500,AUBANK
Nifty 500,RKFORGE
Nifty 500,GVT&D
Nifty 500,PCBL
Nifty 500,SCI
Nifty 500,JIOFIN
Nifty 500,GPIL
Nifty 500,SAMMAANCAP
Nifty 500,SARDAEN
Nifty 500,COCHINSHIP
Nifty 500,BERGEPAINT
Nifty 500,RTNINDIA
Nifty 500,TECHNOE
Nifty 500,GRSE
,
Nifty 50,ETERNAL
Nifty 50,TITAN
Nifty 50,INDUSINDBK
Nifty 50,ONGC
Nifty 50,ADANIENT
Nifty 50,SBILIFE
Nifty 50,GRASIM
Nifty 50,HEROMOTOCO
Nifty 50,HDFCLIFE
Nifty 50,COALINDIA
Nifty 50,SUNPHARMA
Nifty 50,M&M
Nifty 50,ITC
Nifty 50,APOLLOHOSP
Nifty 50,TATASTEEL
Nifty 50,BAJAJ-AUTO
Nifty 50,SHRIRAMFIN
Nifty 50,ULTRACEMCO
Nifty 50,JSWSTEEL
Nifty 50,ADANIPORTS
Nifty 50,ICICIBANK
Nifty 50,SBIN
Nifty 50,HDFCBANK
Nifty 50,BHARTIARTL
Nifty 50,CIPLA
Nifty 50,AXISBANK
Nifty 50,HINDUNILVR
Nifty 50,POWERGRID
Nifty 50,NTPC
Nifty 50,DRREDDY
Nifty 50,NESTLEIND
Nifty 50,TATACONSUM
Nifty 50,MARUTI
Nifty 50,BEL
Nifty 50,HINDALCO
Nifty 50,BAJAJFINSV
Nifty 50,KOTAKBANK
Nifty 50,RELIANCE
Nifty 50,TRENT
Nifty 50,TATAMOTORS
Nifty 50,HCLTECH
Nifty 50,LT
Nifty 50,EICHERMOT
Nifty 50,TCS
Nifty 50,ASIANPAINT
Nifty 50,INFY
Nifty 50,BAJFINANCE
Nifty 50,WIPRO
Nifty 50,TECHM
Nifty 50,JIOFIN
,
ETFs_AdityaBirlaSunLife,SILVER
ETFs_Tata,TATSILV
ETFs_Kotak,SILVER1
ETFs,SILVER360
ETFs_HDFC,HDFCSILVER
ETFs_Axis,AXISILVER
ETFs_MiraeAsset,SILVRETF
ETFs_UTI,SILVERETF
ETFs_Nippon,SILVERBEES
ETFs_SBI,SBISILVER
ETFs_Zerodha,SILVERCASE
ETFs_ICICI,SILVERIETF
ETFs_DSP,SILVERADD
ETFs_Edelweiss,ESILVER
ETFs_Axis,AXISHCETF
ETFs_ICICI,GOLDIETF
ETFs_MotilalOswal,MOCAPITAL
ETFs_UTI,NIFMID150
ETFs_MotilalOswal,MOHEALTH
ETFs_AdityaBirlaSunLife,HEALTHY
ETFs,LICMFGOLD
ETFs,LICNMID100
ETFs_UTI,GOLDSHARE
ETFs,QGOLDHALF
ETFs_DSP,HEALTHADD
ETFs_MotilalOswal,MOREALTY
ETFs,GROWWGOLD
ETFs_ICICI,HEALTHIETF
ETFs_MotilalOswal,MOSMALL250
ETFs_MiraeAsset,GOLDETF
ETFs_HDFC,HDFCGOLD
ETFs_SBI,SETFGOLD
ETFs_HDFC,HDFCSML250
ETFs_AdityaBirlaSunLife,BSLGOLDETF
ETFs_Edelweiss,EGOLD
ETFs,UNIONGOLD
ETFs_MiraeAsset,SMALLCAP
ETFs_Nippon,GOLDBEES
ETFs_DSP,GOLDETFADD
ETFs,GOLD360
ETFs_Nippon,PSUBNKBEES
ETFs,IVZINGOLD
ETFs_MiraeAsset,SELECTIPO
ETFs_Kotak,GOLD1
ETFs_Axis,AXISGOLD
ETFs_Zerodha,GOLDCASE
ETFs_Edelweiss,ECAPINSURE
ETFs_MotilalOswal,MOM100
ETFs_Kotak,ALPHA
ETFs_Kotak,PSUBANK
ETFs_ICICI,PSUBNKIETF
ETFs_DSP,PSUBANKADD
ETFs_ICICI,EVIETF
ETFs_HDFC,HDFCPSUBK
ETFs_MiraeAsset,CONSUMER
ETFs_MiraeAsset,BANKPSU
ETFs_MiraeAsset,MIDCAPETF
ETFs_SBI,SBIBPB
ETFs_Nippon,MID150BEES
ETFs_MiraeAsset,EVINDIA
ETFs_Nippon,PHARMABEES
ETFs_UTI,NIF5GETF
ETFs_Kotak,MID150
ETFs,BBNPPGOLD
ETFs,GROWWEV
ETFs_UTI,UTISXN50
ETFs_ICICI,COMMOIETF
ETFs_Axis,AXISCETF
ETFs_Nippon,JUNIORBEES
ETFs_SBI,SBIETFCON
ETFs_HDFC,HDFCMID150
ETFs_ICICI,NEXT50IETF
ETFs_ICICI,MIDSELIETF
ETFs_MiraeAsset,MULTICAP
ETFs_ICICI,METALIETF
ETFs_MiraeAsset,MIDSMALL
ETFs_MiraeAsset,ALPHAETF
ETFs_MiraeAsset,EQUAL200
ETFs_ICICI,CONSUMIETF
ETFs,GROWWMOM50
ETFs_ICICI,GSEC10IETF
ETFs_Kotak,NIFTY100EW
ETFs_ICICI,GSEC5IETF
ETFs_ICICI,MIDCAPIETF
ETFs_ICICI,FMCGIETF
ETFs_MotilalOswal,MOMENTUM50
ETFs_Kotak,MSCIINDIA
ETFs_AdityaBirlaSunLife,MOMENTUM
